stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,wheelchair_boarding
3997,"A.-Chereau","Saint-Jude / A.-Chereau",46.801374,-71.306122,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3997,0,2
3998,"C.-Laforte","Gingras / C.-Laforte",46.765567,-71.333828,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3998,0,2
3999,"de Fatima","Saint-Jude / de Fatima",46.800194,-71.306262,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3999,0,2
4000,"Laudance","Sainte-Foy / Léonard",46.762345,-71.336476,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4000,0,2
4001,"de la Pommeraie","Sainte-Foy / de la Pommeraie",46.760226,-71.337176,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4001,0,2
4002,"Ste-Thérèse/4002","des Feux-Follets / Sainte-Thérèse",46.90604,-71.193029,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4002,0,2
4004,"des Sabl./4004","des Feux-Follets / des Sablonnières",46.907936,-71.194852,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4004,0,2
4006,"St-Jacques/4006","Saint-Jacques / au 6958",46.82974,-71.326248,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4006,0,2
4007,"Larue","de la Fraternité / Larue",46.888598,-71.164001,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4007,0,2
4009,"Vachon","Larue / Vachon",46.888685,-71.15975,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4009,0,2
4011,"St-Victor","Larue / Saint-Victor",46.888826,-71.160238,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4011,0,2
4012,"St-Théophile","Larue / Saint-Théophile",46.888657,-71.163136,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4012,0,2
4013,"Larue/4013","de la Fraternité / Larue",46.888913,-71.1639,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4013,0,2
4014,"Lapierre","de Vénus / Lapierre",46.8761,-71.339593,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4014,0,2
4015,"Einstein/4015","Franquet / Einstein",46.794368,-71.314637,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4015,0,2
4016,"Einstein/4016","Franquet / Einstein",46.794566,-71.314745,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4016,0,2
4018,"des Feux-Follets","des Sablonnières / des Feux-Follets",46.907917,-71.195036,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4018,0,2
4020,"Riv.-Jaune/4020","de la Rivière-Jaune / au 2499",46.942299,-71.351228,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4020,0,2
4021,"Riv.-Jaune/4021","de la Rivière-Jaune / au 2421",46.94013,-71.350103,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4021,0,2
4022,"A.-Laberge","de la Rivière-Jaune / A.-Laberge",46.938283,-71.349194,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4022,0,2
4023,"du Javeau","Industrielle / des Ibis",46.858778,-71.405003,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4023,0,2
4024,"de la Jacobée","Industrielle / de la Jacobée",46.857976,-71.409816,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4024,0,2
4025,"Impériale","Industrielle / Impériale",46.85772,-71.411464,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4025,0,2
4026,"de Calais","Pie-XI Sud / de Calais",46.854115,-71.408872,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4026,0,2
