route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
170760,RTC,"76",,"Gare de train de Sainte-Foy - Aéroport international Jean-Lesage",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=76,013888,FFFFFF
170770,RTC,"77",,"Terminus Les Saules - Val-Bélair",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=77,013888,FFFFFF
170790,RTC,"79",,"Terminus Les Saules / Belvédère - L'Ancienne-Lorette",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=79,013888,FFFFFF
170800,RTC,"80",,"Place Jacques-Cartier - Aéroport international Jean-Lesage",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=80,013888,FFFFFF
170810,RTC,"81",,"Terminus Les Saules - Terminus du Zoo",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=81,013888,FFFFFF
170820,RTC,"82",,"Place Jacques-Cartier - Lac-Saint-Charles",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=82,013888,FFFFFF
170840,RTC,"84",,"Place Jacques-Cartier - Val-Bélair",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=84,013888,FFFFFF
170850,RTC,"85",,"Place Jacques-Cartier - Lebourgneuf",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=85,013888,FFFFFF
170860,RTC,"86",,"Place J.-Cartier / colline Parlementaire - Terminus Les Saules",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=86,013888,FFFFFF
170920,RTC,"92",,"Cégep Garneau - Saint-Augustin",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=92,013888,FFFFFF
170930,RTC,"93",,"Sainte-Foy Centre/Univ.Laval/Cégep Garneau - Champigny",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=93,013888,FFFFFF
170940,RTC,"94",,"Place Jacques-Cartier - Saint-Augustin",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=94,013888,FFFFFF
174050,RTC,"405",,"Centre Vidéotron - Hôtels centre-ville",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=405,013888,FFFFFF
174100,RTC,"410",,"Festival d'été - Hydro-Québec",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=410,013888,FFFFFF
174300,RTC,"430",,"Festival d'été - Atrium",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=430,013888,FFFFFF
174500,RTC,"450",,"Festival d'été - T. Beauport / Gal. Canardière",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=450,013888,FFFFFF
178004,RTC,"800",,"Beauport - Pointe-de-Sainte-Foy",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=800,97BF0D,000000
178014,RTC,"801",,"Charlesbourg - Pointe-de-Sainte-Foy",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=801,97BF0D,000000
178024,RTC,"802",,"Terminus Beauport - Station Belvédère",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=802,97BF0D,000000
178034,RTC,"803",,"Terminus Beauport - Terminus Les Saules",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=803,97BF0D,000000
178044,RTC,"804",,"Sainte-Foy Centre - Loretteville",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=804,97BF0D,000000
178074,RTC,"807",,"Place D'Youville - Pointe-de-Sainte-Foy",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=807,97BF0D,000000
179046,RTC,"904",,"null - Loretteville",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=904,1A171B,FFFFFF
179076,RTC,"907",,"Place D'Youville - Pointe-de-Sainte-Foy",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=907,1A171B,FFFFFF
179156,RTC,"915",,"null - Cap-Rouge",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=915,1A171B,FFFFFF
179256,RTC,"925",,"null - Pointe-de-Sainte-Foy",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=925,1A171B,FFFFFF
179316,RTC,"931",,"Place D'Youville - Lac-Saint-Charles",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=931,1A171B,FFFFFF
179366,RTC,"936",,"null - Station des Roses",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=936,1A171B,FFFFFF
179506,RTC,"950",,"T. C.-Montmorency - null",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=950,1A171B,FFFFFF
179546,RTC,"954",,"null - Sainte-Thérèse-de-Lisieux",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=954,1A171B,FFFFFF
179726,RTC,"972",,"null - Loretteville",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=972,1A171B,FFFFFF
179806,RTC,"980",,"null - L'Ancienne-Lorette",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=980,1A171B,FFFFFF
179826,RTC,"982",,"null - Lac-Saint-Charles",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=982,1A171B,FFFFFF
179846,RTC,"984",,"null - Neufchâtel",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=984,1A171B,FFFFFF
179926,RTC,"992",,"null - Saint-Augustin",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=992,1A171B,FFFFFF
174200,RTC,"420",,"Festival d'été - Sainte-Foy Centre",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=420,013888,FFFFFF
170139,RTC,"3a",,"Saint-Jean-Eudes - Des Lilas Ouest / Duval",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=3a,013888,FFFFFF
170093,RTC,"9",,"Parc Colbert Est - Place Jacques-Cartier",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=9,013888,FFFFFF
174119,RTC,"11g",,"null - C.-Laforte / McCartney",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=11g,013888,FFFFFF
171139,RTC,"13a",,"École secondaire De Rochebelle - De Terrebonne / de la Suète",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=13a,013888,FFFFFF
172139,RTC,"13b",,"École secondaire De Rochebelle - Des Sapins / du Versant-Nord",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=13b,013888,FFFFFF
171149,RTC,"14a",,"Collège des Compagnons - De la Rivière / du Domaine",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=14a,013888,FFFFFF
174149,RTC,"14g",,"Collège Jésus-Marie de Sillery - Des Carougeois / J.-C.-Cantin",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=14g,013888,FFFFFF
171159,RTC,"15a",,"Collège des Compagnons - De la Prom.-des-Soeurs / J.-C.-Cantin",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=15a,013888,FFFFFF
172159,RTC,"15b",,"Collège des Compagnons - E.-Blondin / de la Prom-des-Soeurs",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=15b,013888,FFFFFF
170223,RTC,"22",,"Sainte-Foy Centre - Terminus Les Saules",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=22,013888,FFFFFF
174259,RTC,"25g",,"null - Terminus de Marly",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=25g,013888,FFFFFF
170293,RTC,"29",,"Parc Colbert Ouest - Place Jacques-Cartier",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=29,013888,FFFFFF
170333,RTC,"33",,"Parc industriel Charlesbourg - Terminus du Zoo",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=33,013888,FFFFFF
171549,RTC,"54a",,"Académie Sainte-Marie - Saint-Honoré / Sainte-Thérèse",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=54a,013888,FFFFFF
